artist,genre,release_year,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,popularity,duration_ms
Artist H,bossa nova,2003,0.5156415185956738,0.34314785094034894,0.26806269840390046,126.94528628731227,-9.934050288362819,0.8656080200597478,0.06876804423601653,0.08872255944047541,0.33844196091533846,91,256058
Artist F,funk carioca,2018,0.687997566289656,0.7119305325721237,0.43714974051135747,155.9540310439275,-6.502197767270012,0.9466579071197159,0.17634368930274003,0.17747731362154964,0.33421488398802873,49,153004
Artist B,axe,2000,0.42685790457399747,0.5738147209147881,0.46675211979337866,106.59559234027023,-12.910262796980444,0.9219052444547219,0.13991180855548233,0.18580742363463457,0.4787834382543477,81,278032
Artist H,samba,2016,0.5956170092494295,0.49640042168643844,0.21888378758360258,103.23487456125574,-4.856130075224522,0.906116325157632,0.2478914622725148,0.03639432754390434,0.08080253411157094,63,241834
Artist F,axe,2010,0.5989751356313303,0.483933867447721,0.22641223295952195,77.7166411151076,-6.564184941547914,0.983727388938172,0.24368310337389493,0.3644730690008716,0.3154480182279851,47,295192
Artist F,axe,2019,0.8075453442385481,0.832414596682612,0.7305750798444832,154.85863468339642,-8.383522809640008,0.9553969292706447,0.019877688712399966,0.12678454186102375,0.36044624772546613,20,210799
Artist I,axe,2021,0.585818203573918,0.9241150693417393,0.5595331638978178,77.37195169954263,-12.605553810309521,0.35654991667628266,0.23932984663987242,0.2496387295642028,0.20482600221182215,33,187217
Artist E,funk carioca,2008,0.2899851916053724,0.34188255345843893,0.5688997070016738,151.91765169954346,-15.956445825089602,0.13247513984568116,0.04481515747064788,0.11718919381021241,0.3015899459072409,90,160361
Artist A,forro,2004,0.7914907161419118,0.7222278421481056,0.3337870023917754,101.91526308125154,-9.072062459578037,0.9302265866828253,0.1978064079548094,0.2431468673175482,0.23571542795273293,81,167878
Artist I,bossa nova,2002,0.6149581522793576,0.43864221388445546,0.6195356355315401,159.22489635678065,-14.937910575459913,0.3127389898656713,0.01996176476070317,0.3438590787562202,0.05358327182549928,39,269424
Artist C,bossa nova,2017,0.6663709191166165,0.9735697601299125,0.5179352021242883,81.82165806359691,-4.811532219961791,0.8654779144998634,0.024164364299419327,0.08844035228559673,0.20444838949591385,61,248489
Artist F,bossa nova,2009,0.7820783403837799,0.9358801284298226,0.8960829847189388,91.7664819398062,-4.812265604604763,0.9955559293835239,0.28117630246199915,0.17997272062270334,0.02084277044263713,65,211628
Artist E,axe,2019,0.5302912893685051,0.7086966433157211,0.8273980028007877,141.14977026991966,-10.574840844154952,0.6211942125057737,0.2580574208372683,0.21969035518461183,0.36396536444537836,74,245570
Artist J,funk carioca,2017,0.647825315224414,0.8021856776632694,0.7344622545827051,105.02535873584111,-7.6513718285362895,0.2864910766576876,0.13688091890933046,0.0595661806276931,0.4486914899681104,73,236284
Artist A,forro,2024,0.37565171189969127,0.6121229570578814,0.4814211855972556,109.68608104273714,-7.095343884101945,0.6640248985651535,0.06254180933637606,0.24648488660198803,0.10573928526528316,71,195843
